layer,head,k,iou_score,program_idxs_used
0,0,1,0.696,69
0,0,2,0.696,69|42
0,0,3,0.696,69|42|1
0,0,4,0.696,69|42|1|6
0,0,5,0.696,69|42|1|6|21
0,0,6,0.696,69|42|1|6|21|47
0,0,7,0.697,69|42|1|6|21|47|0
0,0,8,0.697,69|42|1|6|21|47|0|41
0,0,9,0.697,69|42|1|6|21|47|0|41|5
0,0,10,0.699,69|42|1|6|21|47|0|41|5|49
0,0,11,0.699,69|42|1|6|21|47|0|41|5|49|70
0,0,12,0.7,69|42|1|6|21|47|0|41|5|49|70|62
0,0,13,0.7,69|42|1|6|21|47|0|41|5|49|70|62|9
0,0,14,0.702,69|42|1|6|21|47|0|41|5|49|70|62|9|43
0,0,15,0.702,69|42|1|6|21|47|0|41|5|49|70|62|9|43|13
0,0,16,0.702,69|42|1|6|21|47|0|41|5|49|70|62|9|43|13|46
0,0,17,0.704,69|42|1|6|21|47|0|41|5|49|70|62|9|43|13|46|65
0,0,18,0.704,69|42|1|6|21|47|0|41|5|49|70|62|9|43|13|46|65|19
0,0,19,0.706,69|42|1|6|21|47|0|41|5|49|70|62|9|43|13|46|65|19|38
0,0,20,0.708,69|42|1|6|21|47|0|41|5|49|70|62|9|43|13|46|65|19|38|29
0,1,1,0.415,69
0,1,2,0.415,69|42
0,1,3,0.415,69|42|1
0,1,4,0.415,69|42|1|6
0,1,5,0.415,69|42|1|6|21
0,1,6,0.415,69|42|1|6|21|47
0,1,7,0.415,69|42|1|6|21|47|41
0,1,8,0.416,69|42|1|6|21|47|41|0
0,1,9,0.417,69|42|1|6|21|47|41|0|5
0,1,10,0.424,69|42|1|6|21|47|41|0|5|49
0,1,11,0.424,69|42|1|6|21|47|41|0|5|49|70
0,1,12,0.425,69|42|1|6|21|47|41|0|5|49|70|9
0,1,13,0.425,69|42|1|6|21|47|41|0|5|49|70|9|62
0,1,14,0.425,69|42|1|6|21|47|41|0|5|49|70|9|62|43
0,1,15,0.426,69|42|1|6|21|47|41|0|5|49|70|9|62|43|13
0,1,16,0.427,69|42|1|6|21|47|41|0|5|49|70|9|62|43|13|46
0,1,17,0.428,69|42|1|6|21|47|41|0|5|49|70|9|62|43|13|46|65
0,1,18,0.429,69|42|1|6|21|47|41|0|5|49|70|9|62|43|13|46|65|38
0,1,19,0.429,69|42|1|6|21|47|41|0|5|49|70|9|62|43|13|46|65|38|19
0,1,20,0.43,69|42|1|6|21|47|41|0|5|49|70|9|62|43|13|46|65|38|19|17
