layer,head,k,iou_score,program_idxs_used
0,0,1,0.308,62
0,0,2,0.318,62|9
0,0,3,0.321,62|9|47
0,0,4,0.381,62|9|47|1
0,0,5,0.385,62|9|47|1|6
0,0,6,0.415,62|9|47|1|6|21
0,0,7,0.417,62|9|47|1|6|21|0
0,0,8,0.417,62|9|47|1|6|21|0|49
0,0,9,0.627,62|9|47|1|6|21|0|49|69
0,0,10,0.625,62|9|47|1|6|21|0|49|69|42
0,0,11,0.625,62|9|47|1|6|21|0|49|69|42|41
0,0,12,0.625,62|9|47|1|6|21|0|49|69|42|41|5
0,0,13,0.625,62|9|47|1|6|21|0|49|69|42|41|5|33
0,0,14,0.625,62|9|47|1|6|21|0|49|69|42|41|5|33|68
0,0,15,0.625,62|9|47|1|6|21|0|49|69|42|41|5|33|68|17
0,0,16,0.626,62|9|47|1|6|21|0|49|69|42|41|5|33|68|17|55
0,0,17,0.626,62|9|47|1|6|21|0|49|69|42|41|5|33|68|17|55|23
0,0,18,0.626,62|9|47|1|6|21|0|49|69|42|41|5|33|68|17|55|23|27
0,0,19,0.626,62|9|47|1|6|21|0|49|69|42|41|5|33|68|17|55|23|27|64
0,0,20,0.626,62|9|47|1|6|21|0|49|69|42|41|5|33|68|17|55|23|27|64|30
0,1,1,0.039,37
0,1,2,0.702,37|50
0,1,3,0.7,37|50|48
0,1,4,0.703,37|50|48|51
0,1,5,0.681,37|50|48|51|8
0,1,6,0.676,37|50|48|51|8|17
0,1,7,0.671,37|50|48|51|8|17|43
0,1,8,0.671,37|50|48|51|8|17|43|33
0,1,9,0.793,37|50|48|51|8|17|43|33|52
0,1,10,0.793,37|50|48|51|8|17|43|33|52|41
0,1,11,0.796,37|50|48|51|8|17|43|33|52|41|19
0,1,12,0.796,37|50|48|51|8|17|43|33|52|41|19|68
0,1,13,nan,37|50|48|51|8|17|43|33|52|41|19|68|12
0,1,14,nan,37|50|48|51|8|17|43|33|52|41|19|68|12|47
0,1,15,nan,37|50|48|51|8|17|43|33|52|41|19|68|12|47|9
0,1,16,nan,37|50|48|51|8|17|43|33|52|41|19|68|12|47|9|21
0,1,17,nan,37|50|48|51|8|17|43|33|52|41|19|68|12|47|9|21|1
0,1,18,nan,37|50|48|51|8|17|43|33|52|41|19|68|12|47|9|21|1|6
0,1,19,nan,37|50|48|51|8|17|43|33|52|41|19|68|12|47|9|21|1|6|0
0,1,20,nan,37|50|48|51|8|17|43|33|52|41|19|68|12|47|9|21|1|6|0|5
0,2,1,0.32,62
0,2,2,0.33,62|9
0,2,3,0.332,62|9|47
0,2,4,0.388,62|9|47|1
0,2,5,0.392,62|9|47|1|6
0,2,6,0.426,62|9|47|1|6|21
0,2,7,0.426,62|9|47|1|6|21|41
0,2,8,0.427,62|9|47|1|6|21|41|0
0,2,9,0.648,62|9|47|1|6|21|41|0|69
0,2,10,0.644,62|9|47|1|6|21|41|0|69|42
0,2,11,0.646,62|9|47|1|6|21|41|0|69|42|49
0,2,12,0.646,62|9|47|1|6|21|41|0|69|42|49|5
0,2,13,0.649,62|9|47|1|6|21|41|0|69|42|49|5|33
0,2,14,0.649,62|9|47|1|6|21|41|0|69|42|49|5|33|17
0,2,15,0.649,62|9|47|1|6|21|41|0|69|42|49|5|33|17|68
0,2,16,0.649,62|9|47|1|6|21|41|0|69|42|49|5|33|17|68|52
0,2,17,0.649,62|9|47|1|6|21|41|0|69|42|49|5|33|17|68|52|55
0,2,18,0.649,62|9|47|1|6|21|41|0|69|42|49|5|33|17|68|52|55|23
0,2,19,0.649,62|9|47|1|6|21|41|0|69|42|49|5|33|17|68|52|55|23|27
0,2,20,0.65,62|9|47|1|6|21|41|0|69|42|49|5|33|17|68|52|55|23|27|64
0,3,1,0.068,48
0,3,2,0.074,48|51
0,3,3,0.081,48|51|37
0,3,4,0.096,48|51|37|8
0,3,5,0.606,48|51|37|8|50
0,3,6,0.603,48|51|37|8|50|17
0,3,7,0.618,48|51|37|8|50|17|43
0,3,8,0.615,48|51|37|8|50|17|43|33
0,3,9,0.615,48|51|37|8|50|17|43|33|9
0,3,10,0.613,48|51|37|8|50|17|43|33|9|44
0,3,11,0.613,48|51|37|8|50|17|43|33|9|44|47
0,3,12,0.657,48|51|37|8|50|17|43|33|9|44|47|21
0,3,13,0.657,48|51|37|8|50|17|43|33|9|44|47|21|1
0,3,14,0.658,48|51|37|8|50|17|43|33|9|44|47|21|1|6
0,3,15,0.658,48|51|37|8|50|17|43|33|9|44|47|21|1|6|68
0,3,16,0.658,48|51|37|8|50|17|43|33|9|44|47|21|1|6|68|19
0,3,17,0.657,48|51|37|8|50|17|43|33|9|44|47|21|1|6|68|19|62
0,3,18,0.673,48|51|37|8|50|17|43|33|9|44|47|21|1|6|68|19|62|5
0,3,19,0.673,48|51|37|8|50|17|43|33|9|44|47|21|1|6|68|19|62|5|0
0,3,20,0.673,48|51|37|8|50|17|43|33|9|44|47|21|1|6|68|19|62|5|0|41
0,4,1,0.165,37
0,4,2,0.36,37|50
0,4,3,0.36,37|50|48
0,4,4,0.364,37|50|48|51
0,4,5,0.484,37|50|48|51|8
0,4,6,0.483,37|50|48|51|8|17
0,4,7,0.484,37|50|48|51|8|17|9
0,4,8,0.484,37|50|48|51|8|17|9|62
0,4,9,0.485,37|50|48|51|8|17|9|62|33
0,4,10,0.506,37|50|48|51|8|17|9|62|33|43
0,4,11,0.506,37|50|48|51|8|17|9|62|33|43|47
0,4,12,0.51,37|50|48|51|8|17|9|62|33|43|47|21
0,4,13,0.51,37|50|48|51|8|17|9|62|33|43|47|21|1
0,4,14,0.518,37|50|48|51|8|17|9|62|33|43|47|21|1|6
0,4,15,0.525,37|50|48|51|8|17|9|62|33|43|47|21|1|6|0
0,4,16,0.525,37|50|48|51|8|17|9|62|33|43|47|21|1|6|0|5
0,4,17,0.525,37|50|48|51|8|17|9|62|33|43|47|21|1|6|0|5|41
