layer,head,program_idx,best_program,best_iou
0,0,48,program_L2H0,0.6133108375992302
0,1,48,program_L2H0,0.3796002458884195
0,2,42,program_L1H4,0.4868880874733923
0,3,99,program_L6H11,0.3544477971244334
0,4,48,program_L2H0,0.6091604153934279
0,5,134,program_L9H10,0.4503222272826016
0,6,134,program_L9H10,0.535331889656703
0,7,134,program_L9H10,0.490558796009731
0,8,134,program_L9H10,0.4285878487127023
0,9,134,program_L9H10,0.5486145871028463
0,10,68,program_L3H6,0.2023753273121757
0,11,71,program_L3H9,0.4267203627011144
1,0,83,program_L4H9,0.4187368702978237
1,1,71,program_L3H9,0.2937546325738314
1,2,71,program_L3H9,0.4350648280085312
1,3,37,program_L1H1,0.4196951907572795
1,4,4,program_L0H2,0.5232604359828857
1,5,71,program_L3H9,0.4139929430442501
1,6,44,program_L1H6,0.7175556066471708
1,7,134,program_L9H10,0.445636528533382
1,8,134,program_L9H10,0.5166534205035948
1,9,134,program_L9H10,0.4747495403643587
1,10,71,program_L3H9,0.3939835014494361
1,11,134,program_L9H10,0.4174443684353909
2,0,71,program_L3H9,0.073151144019349
2,1,71,program_L3H9,0.3888227204626661
2,2,37,program_L1H1,0.4480093206178743
2,3,71,program_L3H9,0.4514898881858138
2,4,71,program_L3H9,0.4615198521033463
2,5,134,program_L9H10,0.4714883841119747
2,6,34,program_L11H8,0.3562796071873237
2,7,43,program_L1H5,0.4210038018065104
2,8,71,program_L3H9,0.3759117111507851
2,9,71,program_L3H9,0.0741701599327022
2,10,37,program_L1H1,0.4549717694878906
2,11,71,program_L3H9,0.3943630671690775
3,0,84,program_L5H0,0.3024656216414368
3,1,134,program_L9H10,0.4470584181132645
3,2,83,program_L4H9,0.340324755173807
3,3,71,program_L3H9,0.2632621889271469
3,4,75,program_L4H11,0.3851553437348231
3,5,4,program_L0H2,0.5511860051770169
3,6,134,program_L9H10,0.3803365098716102
3,7,71,program_L3H9,0.4075198631613189
3,8,43,program_L1H5,0.3414090634037047
3,9,71,program_L3H9,0.2335600838160157
3,10,134,program_L9H10,0.3107151448711607
3,11,123,program_L8H11,0.3168812790877492
4,0,75,program_L4H11,0.30292326828273
4,1,75,program_L4H11,0.4165869067768739
4,2,75,program_L4H11,0.319003561113926
4,3,75,program_L4H11,0.2014648737578381
4,4,75,program_L4H11,0.3761220407643419
4,5,75,program_L4H11,0.2269994858477684
4,6,75,program_L4H11,0.2951378427358744
4,7,75,program_L4H11,0.2229500210202772
4,8,75,program_L4H11,0.3233502249614026
4,9,75,program_L4H11,0.3824278884413656
4,10,123,program_L8H11,0.2956231251203619
4,11,75,program_L4H11,0.2300823694909438
5,0,75,program_L4H11,0.253165709608303
