layer,head,program_idx,best_program,best_iou
0,0,493,prog_L2H20,0.4431817717129053
0,1,297,prog_L20H17,0.6319488227663959
0,2,154,prog_L15H18,0.7617696819462306
0,3,590,prog_L6H21,0.7466377580363871
0,4,590,prog_L6H21,0.6578933260158826
0,5,481,prog_L2H1,0.5695759797605762
0,6,375,prog_L23H22,0.676073676086281
0,7,517,prog_L3H20,0.5815134750016349
0,8,635,prog_L8H19,0.5959090121687326
0,9,154,prog_L15H18,0.8033049339625539
0,10,154,prog_L15H18,0.8622079140580572
0,11,493,prog_L2H20,0.8081493899799377
0,12,154,prog_L15H18,0.8383552772997905
0,13,587,prog_L6H19,0.6723904987033433
0,14,423,prog_L25H22,0.736937146527499
0,15,571,prog_L5H5,0.5212436192887637
0,16,154,prog_L15H18,0.8269705728312301
0,17,517,prog_L3H20,0.4636281843153584
0,18,481,prog_L2H1,0.6180614010827412
0,19,278,prog_L1H21,0.4980337821820838
0,20,481,prog_L2H1,0.6909034814379691
0,21,121,prog_L14H1,0.5812137217866223
0,22,618,prog_L7H4,0.9993451713140477
0,23,618,prog_L7H4,0.9981210366826244
1,0,515,prog_L3H19,0.819725457649036
1,1,446,prog_L26H21,0.6505003673792993
1,2,655,prog_L9H15,0.8998505986284936
1,3,655,prog_L9H15,0.772700350959605
1,4,655,prog_L9H15,0.7534939122722839
1,5,246,prog_L19H14,0.8106981845391463
1,6,587,prog_L6H19,0.7816236905797143
1,7,427,prog_L25H5,0.9188793227779144
1,8,375,prog_L23H22,0.6541595294934817
1,9,427,prog_L25H5,0.8335785678759768
1,10,246,prog_L19H14,0.9227418778022388
1,11,246,prog_L19H14,0.8968379519676819
1,12,593,prog_L6H3,0.8328938841096681
1,13,515,prog_L3H19,0.7522329844152876
1,14,246,prog_L19H14,0.8895076405732147
1,15,235,prog_L18H5,0.7766797966401201
1,16,209,prog_L17H3,0.8064898260213477
1,17,379,prog_L23H5,0.8893132847260965
1,18,361,prog_L23H1,0.9116706074788736
1,19,540,prog_L4H2,0.8467571651646466
1,20,246,prog_L19H14,0.9178651972085172
1,21,348,prog_L22H2,0.7120664898990123
1,22,125,prog_L14H13,0.7846994543540433
1,23,548,prog_L4H6,0.8635230127012669
2,0,427,prog_L25H5,0.8143240246364092
2,1,248,prog_L19H16,0.8959491207413961
2,2,246,prog_L19H14,0.8390099534996814
2,3,348,prog_L22H2,0.8458006387420148
2,4,248,prog_L19H16,0.9181182463825236
2,5,358,prog_L22H8,0.8602658816784338
2,6,248,prog_L19H16,0.9249498968714492
2,7,246,prog_L19H14,0.8894180512755552
2,8,248,prog_L19H16,0.897486827764763
2,9,248,prog_L19H16,0.8130153185632887
2,10,248,prog_L19H16,0.8981428561884744
2,11,509,prog_L3H13,0.9497950711965436
2,12,246,prog_L19H14,0.8833623915998695
2,13,655,prog_L9H15,0.8604920274976481
2,14,125,prog_L14H13,0.8460367265371478
2,15,618,prog_L7H4,0.9836237226253182
2,16,174,prog_L16H14,0.993014902872361
2,17,618,prog_L7H4,0.9521558551134024
2,18,427,prog_L25H5,0.8252638134420858
2,19,174,prog_L16H14,0.8911956230151319
2,20,248,prog_L19H16,0.8611368276501559
2,21,427,prog_L25H5,0.840049467546552
2,22,427,prog_L25H5,0.8062870431751976
2,23,515,prog_L3H19,0.739241577148485
3,0,588,prog_L6H2,0.8171564038595893
3,1,248,prog_L19H16,0.8674137660990422
3,2,125,prog_L14H13,0.7345785883142184
3,3,248,prog_L19H16,0.9260384451509328
3,4,655,prog_L9H15,0.8658049188529713
3,5,248,prog_L19H16,0.9170463579136598
3,6,125,prog_L14H13,0.794998617157411
3,7,125,prog_L14H13,0.7803447507844358
3,8,515,prog_L3H19,0.8422826402211971
3,9,427,prog_L25H5,0.8151032351490933
3,10,248,prog_L19H16,0.9060480515656804
3,11,427,prog_L25H5,0.7498697262828371
3,12,593,prog_L6H3,0.9066953955330496
3,13,496,prog_L2H23,0.8627677522600807
3,14,225,prog_L18H17,0.8252027718737475
3,15,296,prog_L20H16,0.8565017319125945
3,16,375,prog_L23H22,0.7947915692808779
3,17,548,prog_L4H6,0.8699676030609913
3,18,125,prog_L14H13,0.6418757395826045
3,19,246,prog_L19H14,0.8644929241682613
3,20,509,prog_L3H13,0.8799540325550133
3,21,375,prog_L23H22,0.6905195118319031
3,22,348,prog_L22H2,0.7664964421216758
3,23,125,prog_L14H13,0.6747497062360488
4,0,588,prog_L6H2,0.8512567559789378
4,1,515,prog_L3H19,0.752994889563914
4,2,248,prog_L19H16,0.9014894874596242
4,3,125,prog_L14H13,0.7049615189280695
4,4,635,prog_L8H19,0.7717051488356702
4,5,375,prog_L23H22,0.725439547021988
4,6,125,prog_L14H13,0.7902669689293287
4,7,375,prog_L23H22,0.7541476195592431
4,8,383,prog_L23H9,0.849311427743972
4,9,530,prog_L4H10,0.8138241409877898
4,10,170,prog_L16H10,0.8114008892046026
4,11,593,prog_L6H3,0.8288805770266465
4,12,577,prog_L6H1,0.7434559768888427
4,13,515,prog_L3H19,0.7686968848312425
4,14,509,prog_L3H13,0.910847875478584
4,15,588,prog_L6H2,0.848532491665338
4,16,248,prog_L19H16,0.9026254080469152
4,17,125,prog_L14H13,0.7328682074341875
4,18,375,prog_L23H22,0.7009122831412556
4,19,125,prog_L14H13,0.7110029956878778
4,20,584,prog_L6H16,0.7911128247597405
4,21,618,prog_L7H4,0.9549387425829634
4,22,174,prog_L16H14,0.9398183746971084
4,23,125,prog_L14H13,0.7513026563447308
5,0,427,prog_L25H5,0.8561544855659038
5,1,125,prog_L14H13,0.7473307874971724
5,2,125,prog_L14H13,0.7205741176648104
5,3,296,prog_L20H16,0.749331634240548
5,4,296,prog_L20H16,0.735774528950739
5,5,427,prog_L25H5,0.8555934442471271
5,6,250,prog_L19H18,0.9818752050765632
5,7,618,prog_L7H4,0.9928917536595973
5,8,509,prog_L3H13,0.9085207049796652
5,9,446,prog_L26H21,0.6916539126750181
