layer,head,program_idx,best_program,best_iou
0,0,376,prog_L1H30,0.8780234662856756
0,1,376,prog_L1H30,0.865061582165635
0,2,376,prog_L1H30,0.8510115095634931
0,3,376,prog_L1H30,0.888224438589971
0,4,376,prog_L1H30,0.904568520346252
0,5,376,prog_L1H30,0.8916343105244475
0,6,376,prog_L1H30,0.8712851882996091
0,7,376,prog_L1H30,0.8928181873763142
0,8,376,prog_L1H30,0.8258237883372003
0,9,376,prog_L1H30,0.8384512111281065
0,10,376,prog_L1H30,0.7901504926591375
0,11,376,prog_L1H30,0.8121964510029915
0,12,376,prog_L1H30,0.7935107648098849
0,13,376,prog_L1H30,0.777385237606931
0,14,376,prog_L1H30,0.8266200466090959
0,15,376,prog_L1H30,0.8754298610076123
0,16,58,prog_L10H4,0.5871015728055685
0,17,220,prog_L15H6,0.6009478506499306
0,18,300,prog_L18H2,0.690005975271506
0,19,44,prog_L10H2,0.586179096686284
0,20,355,prog_L1H11,0.4722771563589896
0,21,58,prog_L10H4,0.6115408648364794
0,22,300,prog_L18H2,0.4472013851178883
0,23,27,prog_L0H5,0.6075537500413486
0,24,376,prog_L1H30,0.7399499047711877
0,25,376,prog_L1H30,0.7128659771439471
0,26,58,prog_L10H4,0.5888960385268679
0,27,376,prog_L1H30,0.7762050628397483
0,28,376,prog_L1H30,0.7132110602273478
0,29,376,prog_L1H30,0.7421277894148263
0,30,627,prog_L7H26,0.5672754594298306
0,31,376,prog_L1H30,0.7409578605029342
1,0,223,prog_L15H9,0.5065220581847119
1,1,555,prog_L5H19,0.5005778711650977
1,2,555,prog_L5H19,0.5026869833103721
1,3,358,prog_L1H14,0.5590590252871539
1,4,44,prog_L10H2,0.4887734026479789
1,5,44,prog_L10H2,0.577659576890935
1,6,497,prog_L3H24,0.4720919270208468
1,7,37,prog_L10H13,0.5215440544482506
1,8,29,prog_L0H7,0.6113130134788985
1,9,7,prog_L0H15,0.6060710409402686
1,10,472,prog_L2H30,0.5545567133383956
1,11,29,prog_L0H7,0.6918366253803548
1,12,620,prog_L7H2,0.6034766531758062
1,13,642,prog_L8H10,0.5892705190180235
1,14,29,prog_L0H7,0.6742023834274313
1,15,642,prog_L8H10,0.6053689612649016
1,16,472,prog_L2H30,0.4923182989140263
1,17,472,prog_L2H30,0.4808741912440515
1,18,472,prog_L2H30,0.496640855470093
1,19,98,prog_L12H10,0.4305504940031114
1,20,472,prog_L2H30,0.5295516811619112
1,21,472,prog_L2H30,0.4998600872406699
1,22,472,prog_L2H30,0.4826619309506002
1,23,472,prog_L2H30,0.4945187022463251
1,24,472,prog_L2H30,0.5868222641883036
1,25,358,prog_L1H14,0.5576461956615516
1,26,472,prog_L2H30,0.6010274588320788
1,27,472,prog_L2H30,0.5624554333053517
1,28,472,prog_L2H30,0.6386442639734893
1,29,472,prog_L2H30,0.625782504279684
1,30,369,prog_L1H24,0.6632356384504078
1,31,44,prog_L10H2,0.6879178303779578
2,0,643,prog_L8H11,0.6239146450449711
2,1,14,prog_L0H21,0.5356979055388631
2,2,358,prog_L1H14,0.571903123566271
2,3,7,prog_L0H15,0.5982299245953513
2,4,497,prog_L3H24,0.6178880878004407
2,5,29,prog_L0H7,0.6500741322318531
2,6,29,prog_L0H7,0.5941535430827922
2,7,627,prog_L7H26,0.6409214815065442
2,8,496,prog_L3H23,0.5924653913194298
2,9,496,prog_L3H23,0.5664809629532098
2,10,496,prog_L3H23,0.5820957993031943
2,11,620,prog_L7H2,0.5680242753667147
2,12,496,prog_L3H23,0.5650789888590855
2,13,642,prog_L8H10,0.5457303342000532
2,14,496,prog_L3H23,0.6575561791895577
2,15,496,prog_L3H23,0.5828107099072775
2,16,472,prog_L2H30,0.5195687648402835
2,17,472,prog_L2H30,0.4714533878501347
2,18,472,prog_L2H30,0.479234409285785
2,19,472,prog_L2H30,0.5100102294280713
2,20,472,prog_L2H30,0.5114962524575022
2,21,360,prog_L1H16,0.4642149940371049
2,22,472,prog_L2H30,0.5030749884665432
2,23,472,prog_L2H30,0.5432375472468108
2,24,358,prog_L1H14,0.4381665805846563
2,25,472,prog_L2H30,0.4349585878210852
2,26,472,prog_L2H30,0.4459591468149949
2,27,358,prog_L1H14,0.477748211544462
2,28,472,prog_L2H30,0.4346677722247292
2,29,472,prog_L2H30,0.4302183910969378
2,30,472,prog_L2H30,0.4107453216735994
2,31,472,prog_L2H30,0.4443974463064831
3,0,182,prog_L14H29,0.9004221723365854
3,1,396,prog_L20H2,0.900125450524744
3,2,396,prog_L20H2,0.8936312430483984
3,3,396,prog_L20H2,0.790351059335316
3,4,396,prog_L20H2,0.9057346702840128
3,5,396,prog_L20H2,0.8922307986610903
3,6,396,prog_L20H2,0.8883717762931195
3,7,396,prog_L20H2,0.9108077046827512
3,8,311,prog_L18H3,0.7942055168575234
3,9,396,prog_L20H2,0.871947668441123
3,10,311,prog_L18H3,0.8087418023676914
3,11,396,prog_L20H2,0.8880391072391698
3,12,235,prog_L16H19,0.8381475544122718
3,13,396,prog_L20H2,0.7950301966266369
3,14,311,prog_L18H3,0.8024208582873575
3,15,332,prog_L19H2,0.7851895264931578
3,16,396,prog_L20H2,0.9183996650836904
3,17,311,prog_L18H3,0.8114888365400186
3,18,396,prog_L20H2,0.8324428768135383
3,19,396,prog_L20H2,0.8397066270149066
3,20,396,prog_L20H2,0.823282779548666
3,21,568,prog_L5H30,0.7211862070217607
3,22,396,prog_L20H2,0.8414748296720795
3,23,542,prog_L4H8,0.6751583241117876
3,24,215,prog_L15H3,0.7798996110862906
3,25,234,prog_L16H18,0.8030826806489324
3,26,410,prog_L20H4,0.8421087454231225
3,27,410,prog_L20H4,0.8252887018719012
3,28,170,prog_L14H18,0.7177905596709153
3,29,396,prog_L20H2,0.8258548512803247
3,30,396,prog_L20H2,0.8253731249303019
3,31,410,prog_L20H4,0.8171031423810268
4,0,396,prog_L20H2,0.8214152832697005
4,1,311,prog_L18H3,0.7958242333632397
4,2,311,prog_L18H3,0.7861921546226885
4,3,396,prog_L20H2,0.8589501400278123
4,4,396,prog_L20H2,0.9056086914393788
4,5,396,prog_L20H2,0.8863389109038137
4,6,396,prog_L20H2,0.7947734019166741
4,7,396,prog_L20H2,0.813640718367291
4,8,182,prog_L14H29,0.8976990907533784
4,9,587,prog_L6H19,0.8601534057568377
4,10,311,prog_L18H3,0.7753294672044774
4,11,396,prog_L20H2,0.8418432956265299
4,12,587,prog_L6H19,0.8810078158970172
4,13,396,prog_L20H2,0.8867835542987796
4,14,396,prog_L20H2,0.8163849092139099
4,15,396,prog_L20H2,0.8227214390194743
4,16,568,prog_L5H30,0.8120127024267549
4,17,396,prog_L20H2,0.8997855892630703
4,18,396,prog_L20H2,0.8951553422662137
4,19,396,prog_L20H2,0.8769484271200803
4,20,396,prog_L20H2,0.898204799024424
4,21,311,prog_L18H3,0.7518109388422982
4,22,542,prog_L4H8,0.7731635234462314
4,23,396,prog_L20H2,0.9102391876582184
4,24,235,prog_L16H19,0.8991829456418341
4,25,396,prog_L20H2,0.8885580085606224
4,26,396,prog_L20H2,0.8251022785503868
4,27,235,prog_L16H19,0.8646559261763972
4,28,396,prog_L20H2,0.9065770671552325
4,29,396,prog_L20H2,0.8578778839018701
4,30,396,prog_L20H2,0.8661111028425722
4,31,396,prog_L20H2,0.8931026619575488
5,0,489,prog_L3H17,0.7507330075537922
5,1,198,prog_L15H14,0.734018635782005
5,2,542,prog_L4H8,0.7705206563867857
5,3,666,prog_L8H4,0.6776132744858756
5,4,396,prog_L20H2,0.7992043307081242
5,5,396,prog_L20H2,0.7446408787821696
5,6,583,prog_L6H15,0.8164752965976533
5,7,396,prog_L20H2,0.8025983589889263
5,8,396,prog_L20H2,0.868124400189209
5,9,396,prog_L20H2,0.8940755871238577
5,10,396,prog_L20H2,0.8703831749802715
5,11,396,prog_L20H2,0.8699870382691193
5,12,311,prog_L18H3,0.7419368797071816
5,13,396,prog_L20H2,0.907053660337324
5,14,396,prog_L20H2,0.9138262604818256
5,15,396,prog_L20H2,0.9064416987684716
5,16,396,prog_L20H2,0.8931732476407455
5,17,587,prog_L6H19,0.8663100558593755
5,18,311,prog_L18H3,0.8625392887480807
5,19,311,prog_L18H3,0.8566907204641797
5,20,396,prog_L20H2,0.9137816424414408
5,21,125,prog_L12H7,0.8359621197320537
5,22,587,prog_L6H19,0.9020945872660832
5,23,396,prog_L20H2,0.8626675367018546
5,24,396,prog_L20H2,0.7442888709477076
5,25,396,prog_L20H2,0.8745838490809141
5,26,396,prog_L20H2,0.8570511008551882
5,27,410,prog_L20H4,0.8393090072582965
5,28,396,prog_L20H2,0.8697781359842753
5,29,396,prog_L20H2,0.8714204746855512
5,30,198,prog_L15H14,0.7112585653274096
5,31,396,prog_L20H2,0.8402909217662964
6,0,396,prog_L20H2,0.8587707935758788
6,1,389,prog_L20H13,0.7234046060610322
6,2,311,prog_L18H3,0.7939146561505895
6,3,396,prog_L20H2,0.914363451525219
6,4,234,prog_L16H18,0.770824305018454
6,5,666,prog_L8H4,0.6638380685984492
6,6,385,prog_L20H1,0.8032367761210034
6,7,396,prog_L20H2,0.8447888531397352
6,8,489,prog_L3H17,0.7678410759216319
6,9,396,prog_L20H2,0.8381898758320384
6,10,396,prog_L20H2,0.8816054508635709
6,11,396,prog_L20H2,0.9321146225597824
6,12,410,prog_L20H4,0.8014066951651408
6,13,396,prog_L20H2,0.8939368434701187
6,14,666,prog_L8H4,0.7235679112489366
6,15,396,prog_L20H2,0.9049454494125784
6,16,125,prog_L12H7,0.8464830091707786
6,17,587,prog_L6H19,0.870189595307566
6,18,311,prog_L18H3,0.8221043191563634
6,19,407,prog_L20H3,0.7317069517459545
6,20,481,prog_L3H1,0.8405831073771186
6,21,321,prog_L19H1,0.8141304539129575
6,22,311,prog_L18H3,0.8533572810286378
6,23,407,prog_L20H3,0.7895313715863537
6,24,396,prog_L20H2,0.8333686046284807
6,25,182,prog_L14H29,0.9090678894314852
6,26,467,prog_L2H26,0.6973531875564173
6,27,445,prog_L21H7,0.7212941884218154
6,28,467,prog_L2H26,0.7640195979550627
6,29,410,prog_L20H4,0.8501563964141541
6,30,321,prog_L19H1,0.7779193614533741
6,31,410,prog_L20H4,0.7482534834741412
7,0,396,prog_L20H2,0.9261452781202452
7,1,542,prog_L4H8,0.7859475172102425
7,2,489,prog_L3H17,0.7035431512223381
7,3,396,prog_L20H2,0.8822986188827464
7,4,215,prog_L15H3,0.8291043259911166
7,5,185,prog_L14H31,0.8327971288674331
7,6,650,prog_L8H18,0.7169324791037146
7,7,542,prog_L4H8,0.7572396116901418
7,8,542,prog_L4H8,0.6848461912598578
7,9,410,prog_L20H4,0.7415478493904255
7,10,410,prog_L20H4,0.7534037621982705
7,11,215,prog_L15H3,0.7169399594317409
7,12,542,prog_L4H8,0.8170134687735333
7,13,542,prog_L4H8,0.6962074884333989
7,14,396,prog_L20H2,0.8859696789163841
7,15,396,prog_L20H2,0.8553029457639173
7,16,489,prog_L3H17,0.6507223440030458
7,17,396,prog_L20H2,0.8384625637681733
7,18,583,prog_L6H15,0.8384462937168866
7,19,461,prog_L2H20,0.6883480832537876
7,20,599,prog_L6H3,0.7243337157696705
7,21,396,prog_L20H2,0.8697517508331425
7,22,396,prog_L20H2,0.8775893893222257
7,23,215,prog_L15H3,0.6367340292508838
7,24,396,prog_L20H2,0.9007111399193809
7,25,396,prog_L20H2,0.9005351965407563
7,26,396,prog_L20H2,0.7466857409673355
7,27,542,prog_L4H8,0.7920168031108502
7,28,215,prog_L15H3,0.6967996390203393
7,29,170,prog_L14H18,0.6595080606163777
7,30,185,prog_L14H31,0.8225485737100111
7,31,410,prog_L20H4,0.7131561657360379
8,0,396,prog_L20H2,0.7621431813005536
8,1,215,prog_L15H3,0.7442087175445622
8,2,600,prog_L6H30,0.6801097959717444
8,3,410,prog_L20H4,0.6728881548777444
8,4,467,prog_L2H26,0.6860578403977171
8,5,311,prog_L18H3,0.7279571182319357
8,6,234,prog_L16H18,0.6196441049148043
8,7,125,prog_L12H7,0.8326541438883297
8,8,235,prog_L16H19,0.9297777346444208
8,9,182,prog_L14H29,0.9263625363633576
8,10,493,prog_L3H20,0.6991191494722704
8,11,182,prog_L14H29,0.9436210369827496
8,12,182,prog_L14H29,0.8954830279933873
8,13,235,prog_L16H19,0.8694214239010384
8,14,396,prog_L20H2,0.8904825855470087
8,15,396,prog_L20H2,0.9063425933116556
8,16,396,prog_L20H2,0.8660416517402846
8,17,235,prog_L16H19,0.8916845679483801
8,18,396,prog_L20H2,0.9111766300019302
8,19,396,prog_L20H2,0.9292393797093396
8,20,396,prog_L20H2,0.8516739660202551
8,21,396,prog_L20H2,0.911809349239246
8,22,311,prog_L18H3,0.7982889982217746
8,23,125,prog_L12H7,0.88468946167862
8,24,396,prog_L20H2,0.827202366322292
8,25,396,prog_L20H2,0.9041130730038476
8,26,396,prog_L20H2,0.9032015528817504
8,27,396,prog_L20H2,0.910312806031478
8,28,396,prog_L20H2,0.8350927464991805
8,29,311,prog_L18H3,0.7919617971474315
8,30,234,prog_L16H18,0.8030485720441296
8,31,311,prog_L18H3,0.7042879951308586
9,0,396,prog_L20H2,0.9006854468673623
9,1,542,prog_L4H8,0.8026711523275829
9,2,542,prog_L4H8,0.7333364439774813
9,3,198,prog_L15H14,0.6514926974433052
9,4,467,prog_L2H26,0.6697187241242161
9,5,170,prog_L14H18,0.7153969906506131
9,6,396,prog_L20H2,0.844438408086773
9,7,410,prog_L20H4,0.781522665558908
9,8,489,prog_L3H17,0.7343876637957967
9,9,77,prog_L11H20,0.7046913760031529
9,10,542,prog_L4H8,0.8302147558053397
9,11,170,prog_L14H18,0.7263297822423258
9,12,396,prog_L20H2,0.804037213080918
9,13,461,prog_L2H20,0.7192162982454835
9,14,489,prog_L3H17,0.8078618751710573
9,15,542,prog_L4H8,0.64583230097428
9,16,311,prog_L18H3,0.7953244700212112
9,17,407,prog_L20H3,0.7164459387647911
9,18,467,prog_L2H26,0.7008778866822049
9,19,311,prog_L18H3,0.7505041979637782
9,20,467,prog_L2H26,0.6344202679298618
9,21,407,prog_L20H3,0.7364572900583297
9,22,321,prog_L19H1,0.6979372286803366
9,23,332,prog_L19H2,0.6346005532634474
9,24,513,prog_L4H1,0.5709742354071101
9,25,396,prog_L20H2,0.8438866352848715
9,26,583,prog_L6H15,0.7839373018188096
9,27,467,prog_L2H26,0.6692036465304458
9,28,311,prog_L18H3,0.7717615394884956
9,29,666,prog_L8H4,0.570042286508236
9,30,311,prog_L18H3,0.7059981126930734
9,31,396,prog_L20H2,0.8279612406990001
10,0,600,prog_L6H30,0.7363924294275901
10,1,542,prog_L4H8,0.715112106806762
10,2,513,prog_L4H1,0.5430306508952845
10,3,408,prog_L20H30,0.6307007850471512
10,4,467,prog_L2H26,0.6645730688256816
10,5,234,prog_L16H18,0.6933431192862382
10,6,311,prog_L18H3,0.732817600460794
10,7,513,prog_L4H1,0.6674467178734271
10,8,311,prog_L18H3,0.8113599322033389
10,9,311,prog_L18H3,0.672237418281264
10,10,198,prog_L15H14,0.7315149440435551
10,11,311,prog_L18H3,0.795252021525575
10,12,396,prog_L20H2,0.8328918259871315
10,13,311,prog_L18H3,0.8521088652379991
10,14,311,prog_L18H3,0.8335228967922331
10,15,311,prog_L18H3,0.7362990464286739
10,16,396,prog_L20H2,0.8933111513005171
10,17,311,prog_L18H3,0.6945423656577846
10,18,410,prog_L20H4,0.7049419422397571
10,19,410,prog_L20H4,0.7801554893844338
10,20,198,prog_L15H14,0.641148446504106
10,21,542,prog_L4H8,0.7308138801167059
10,22,542,prog_L4H8,0.7129903538647471
10,23,410,prog_L20H4,0.7033328579883908
10,24,410,prog_L20H4,0.8570076385651101
10,25,467,prog_L2H26,0.6532096450181404
10,26,396,prog_L20H2,0.8719374063118426
10,27,191,prog_L14H9,0.6615333997251243
10,28,461,prog_L2H20,0.6873754332589515
10,29,234,prog_L16H18,0.6834300205567277
10,30,467,prog_L2H26,0.6965972001737791
10,31,666,prog_L8H4,0.5514522920851846
11,0,396,prog_L20H2,0.8654901032370443
11,1,396,prog_L20H2,0.918839487909038
11,2,396,prog_L20H2,0.8770425547327265
11,3,182,prog_L14H29,0.9245507982657593
11,4,513,prog_L4H1,0.6772570018953121
11,5,396,prog_L20H2,0.8185240312055274
11,6,396,prog_L20H2,0.9178723278549288
11,7,396,prog_L20H2,0.8985442913392155
11,8,182,prog_L14H29,0.941426163700531
11,9,191,prog_L14H9,0.5922726182703848
11,10,666,prog_L8H4,0.7067100803516688
11,11,182,prog_L14H29,0.9288198425628348
11,12,191,prog_L14H9,0.6212085628848861
11,13,396,prog_L20H2,0.842628238747537
11,14,215,prog_L15H3,0.7398959723476454
11,15,182,prog_L14H29,0.903171690031916
11,16,666,prog_L8H4,0.6217630592485881
11,17,215,prog_L15H3,0.7458511256559792
11,18,410,prog_L20H4,0.6855117807643863
11,19,489,prog_L3H17,0.6326147181126649
11,20,396,prog_L20H2,0.7978133876944083
11,21,410,prog_L20H4,0.7233292743570741
11,22,396,prog_L20H2,0.6968414746936437
11,23,396,prog_L20H2,0.7263564648568969
11,24,396,prog_L20H2,0.7162161989742876
11,25,489,prog_L3H17,0.6744400785691924
11,26,542,prog_L4H8,0.66221493288663
11,27,311,prog_L18H3,0.775415980106919
11,28,385,prog_L20H1,0.7662214261626966
11,29,410,prog_L20H4,0.7466966143920617
11,30,461,prog_L2H20,0.6744491217105433
11,31,311,prog_L18H3,0.8490421580815719
12,0,50,prog_L10H25,0.7865238407026538
12,1,285,prog_L17H7,0.6166029377493394
12,2,542,prog_L4H8,0.690007699410121
12,3,410,prog_L20H4,0.668514804457058
12,4,136,prog_L13H16,0.6367282977774602
12,5,396,prog_L20H2,0.9084628111616626
12,6,542,prog_L4H8,0.8005174200732185
12,7,410,prog_L20H4,0.7200289640912205
12,8,513,prog_L4H1,0.5807572875279892
12,9,410,prog_L20H4,0.7120103396755616
12,10,90,prog_L11H4,0.7345281813778112
12,11,215,prog_L15H3,0.6692671384960974
12,12,513,prog_L4H1,0.6697371941569548
12,13,513,prog_L4H1,0.5914656151614978
12,14,215,prog_L15H3,0.6779125088707586
12,15,542,prog_L4H8,0.6658572614623026
12,16,397,prog_L20H20,0.7786799209620852
12,17,542,prog_L4H8,0.669920799139376
12,18,311,prog_L18H3,0.6929240378755026
12,19,599,prog_L6H3,0.6549792978294076
12,20,396,prog_L20H2,0.7877827766568577
12,21,445,prog_L21H7,0.6776447622966473
12,22,467,prog_L2H26,0.6724894581144272
12,23,542,prog_L4H8,0.7012306411622786
12,24,170,prog_L14H18,0.7606430443494927
12,25,542,prog_L4H8,0.8098353253382156
12,26,396,prog_L20H2,0.8478656879376196
12,27,215,prog_L15H3,0.7648440268542098
12,28,215,prog_L15H3,0.8164601451359383
12,29,461,prog_L2H20,0.6393423520352328
12,30,489,prog_L3H17,0.7873064593674173
12,31,489,prog_L3H17,0.7039421481853212
13,0,599,prog_L6H3,0.6847340112127605
13,1,461,prog_L2H20,0.636297836566801
