k,head,program,strategy,increase,kl_div,spike
1,"(0, 22)",prog_L7H4,baseline,21.067593235647706,1.3003878474235535,False
2,"(2, 16)",prog_L16H14,baseline,49.98360522615841,2.6336478769779204,False
3,"(5, 7)",prog_L7H4,baseline,82.467962711318,2.981445014476776,False
4,"(22, 10)",prog_L19H18,baseline,86.80888074265508,3.132188594341278,False
5,"(22, 3)",prog_L16H14,baseline,84.99973158879125,3.1440858960151674,False
6,"(22, 11)",prog_L7H4,baseline,93.76163396395562,3.2955445289611816,False
7,"(22, 9)",prog_L19H18,baseline,91.89768760396534,3.406094121932983,False
8,"(5, 6)",prog_L19H18,baseline,136.69199999899652,3.5392167806625365,False
9,"(22, 5)",prog_L19H18,baseline,142.31629525058787,3.7938469648361206,False
10,"(21, 17)",prog_L7H4,baseline,139.43697246815455,3.820298957824707,False
11,"(23, 11)",prog_L7H4,baseline,138.22754095179283,3.7329085946083067,False
12,"(14, 2)",prog_L7H4,baseline,152.32805539928265,4.030123543739319,False
13,"(22, 4)",prog_L7H4,baseline,155.68933901927534,3.7296361923217773,False
14,"(23, 9)",prog_L19H18,baseline,155.99272068879728,4.128980922698974,False
15,"(21, 4)",prog_L16H14,baseline,152.8586072799393,3.894780683517456,False
16,"(21, 19)",prog_L7H4,baseline,151.9108012065538,3.7431378602981566,False
17,"(18, 15)",prog_L19H18,baseline,151.10834095826192,3.902174437046051,False
18,"(19, 22)",prog_L7H4,baseline,164.75633536110595,4.257203102111816,False
19,"(24, 4)",prog_L19H18,baseline,164.92542688603103,4.297777009010315,False
20,"(21, 15)",prog_L19H18,baseline,177.1346777698747,4.276698517799377,False
21,"(18, 2)",prog_L16H14,baseline,183.39546155348881,4.173971462249756,False
22,"(21, 13)",prog_L16H14,baseline,182.17106687951767,4.182012319564819,False
23,"(21, 3)",prog_L16H14,baseline,196.65585558082356,4.172343349456787,False
24,"(16, 3)",prog_L16H14,baseline,192.4655712186452,4.275916481018067,False
25,"(21, 12)",prog_L16H14,baseline,198.71246946707913,4.508367967605591,False
26,"(24, 17)",prog_L16H14,baseline,202.77207864413856,4.457527208328247,False
27,"(25, 15)",prog_L19H18,baseline,218.9137388626641,4.37543478012085,False
28,"(14, 1)",prog_L16H14,baseline,257.7804119836709,4.864637565612793,False
29,"(19, 21)",prog_L19H18,baseline,278.92673447091954,5.076788067817688,False
30,"(4, 21)",prog_L7H4,baseline,368.03539643367037,5.357663679122925,False
31,"(20, 10)",prog_L7H4,baseline,398.07114869345685,5.065495753288269,False
32,"(24, 3)",prog_L16H14,baseline,400.2007368560204,5.243648529052734,False
33,"(15, 13)",prog_L16H14,baseline,462.9382163506549,5.770962905883789,False
34,"(24, 20)",prog_L19H18,baseline,484.81682213555223,5.980860042572021,False
35,"(19, 23)",prog_L7H4,baseline,474.7864031933883,5.8352748394012455,False
36,"(23, 12)",prog_L7H4,baseline,470.29244100419464,5.936859941482544,False
37,"(14, 22)",prog_L19H18,baseline,540.5139612849111,5.8453819274902346,False
38,"(2, 11)",prog_L3H13,baseline,610.1383493846708,5.887884616851807,False
39,"(21, 18)",prog_L7H4,baseline,627.0930796651564,5.913722038269043,False
40,"(19, 15)",prog_L7H4,baseline,632.9390554937561,5.596592664718628,False
41,"(17, 3)",prog_L19H18,baseline,659.533913904572,5.487743902206421,False
42,"(20, 9)",prog_L16H14,baseline,673.8497600531366,5.6119200706481935,False
43,"(24, 19)",prog_L3H13,baseline,683.4191345638594,5.716653442382812,False
44,"(23, 5)",prog_L19H18,baseline,676.779862497113,5.659366798400879,False
45,"(21, 8)",prog_L7H4,baseline,673.045838420139,5.715131568908691,False
46,"(23, 19)",prog_L16H14,baseline,701.9206734621799,5.958481359481811,False
47,"(24, 15)",prog_L16H14,baseline,728.4899310531653,5.976521778106689,False
48,"(18, 4)",prog_L7H4,baseline,727.0111639661175,5.9174721240997314,False
49,"(26, 22)",prog_L16H14,baseline,734.3203746649682,6.043922042846679,False
50,"(22, 7)",prog_L19H18,baseline,776.9096754539509,6.152173900604248,False
51,"(26, 5)",prog_L3H13,baseline,772.3582408085406,6.185051965713501,False
52,"(13, 13)",prog_L3H13,baseline,802.3252674449286,6.131177806854248,False
53,"(10, 21)",prog_L3H13,baseline,872.9202712287322,6.283592700958252,False
54,"(24, 5)",prog_L16H14,baseline,897.6139591541853,6.433201026916504,False
