k,head,program,strategy,increase,kl_div,spike
1,"(0, 22)",prog_L7H4,smart,0.25279185048630637,0.0017187532968819142,False
2,"(0, 23)",prog_L7H4,smart,0.8894968291807661,0.0027903183829039334,False
3,"(2, 16)",prog_L16H14,smart,1.0544681064862378,0.004101913003250956,False
4,"(5, 7)",prog_L7H4,smart,1.620276055034442,0.0027969571528956294,False
5,"(22, 10)",prog_L19H18,smart,1.582551069942364,0.00359656042419374,False
6,"(22, 3)",prog_L16H14,smart,1.4493405516389672,0.004228844470344484,False
7,"(2, 15)",prog_L7H4,smart,1.4962605751697877,0.0060314533300697805,False
8,"(22, 11)",prog_L7H4,smart,1.809007172370538,0.005114334356039763,False
9,"(22, 9)",prog_L19H18,smart,1.7745553652583674,0.005362153798341751,False
10,"(5, 6)",prog_L19H18,smart,1.4966526581962065,0.005487262830138206,False
11,"(22, 5)",prog_L19H18,smart,1.7392750072862015,0.005783796776086092,False
12,"(21, 17)",prog_L7H4,smart,1.7228328900406278,0.006206364650279283,False
13,"(23, 11)",prog_L7H4,smart,1.8592831059777783,0.0067156791687011715,False
14,"(14, 2)",prog_L7H4,smart,2.177244261392411,0.008174877427518368,False
15,"(22, 4)",prog_L7H4,smart,2.3119871943515387,0.008224753849208354,False
16,"(23, 9)",prog_L19H18,smart,2.789998822924092,0.009104141779243947,False
17,"(21, 4)",prog_L16H14,smart,3.0445447998582083,0.008740957640111447,False
18,"(21, 19)",prog_L7H4,smart,3.1572954048598505,0.010316697135567664,False
19,"(18, 15)",prog_L19H18,smart,3.151656601868703,0.011044125258922576,False
20,"(19, 22)",prog_L7H4,smart,3.2915321696822497,0.01448892280459404,False
21,"(24, 4)",prog_L19H18,smart,3.4955388727998775,0.016671549901366232,False
22,"(21, 15)",prog_L19H18,smart,3.104905262784516,0.017249316535890104,False
23,"(18, 2)",prog_L16H14,smart,3.2640465824281732,0.020876368321478368,False
24,"(21, 13)",prog_L16H14,smart,3.2887618078736267,0.021520459093153477,False
25,"(21, 3)",prog_L16H14,smart,3.269374133610222,0.022559243999421597,False
26,"(16, 3)",prog_L16H14,smart,3.3990669544337693,0.02294959332793951,False
27,"(21, 12)",prog_L16H14,smart,3.510694277041061,0.022432244569063186,False
28,"(24, 17)",prog_L16H14,smart,3.6032563737599523,0.023031408526003362,False
29,"(25, 15)",prog_L19H18,smart,3.790782222444565,0.023242927715182306,False
30,"(14, 1)",prog_L16H14,smart,4.3144680450997175,0.024115778505802155,False
31,"(19, 21)",prog_L19H18,smart,4.538896251144555,0.024342131428420545,False
32,"(4, 21)",prog_L7H4,smart,4.525365943879273,0.024259136244654655,False
33,"(20, 10)",prog_L7H4,smart,4.10262063250803,0.02702421974390745,False
34,"(24, 3)",prog_L16H14,smart,4.050950224725293,0.029774248972535132,False
35,"(15, 13)",prog_L16H14,smart,4.011812606639461,0.030127398297190668,False
36,"(24, 20)",prog_L19H18,smart,4.283539352476959,0.031027032434940337,False
37,"(2, 17)",prog_L7H4,smart,4.177821490578038,0.03293692953884601,False
38,"(19, 23)",prog_L7H4,smart,4.388316290654573,0.03239617571234703,False
39,"(23, 12)",prog_L7H4,smart,4.121457451710176,0.03393702805042267,False
40,"(14, 22)",prog_L19H18,smart,4.238720705881885,0.034031407162547114,False
41,"(2, 11)",prog_L3H13,smart,3.8765555283327338,0.034852055832743645,False
42,"(21, 18)",prog_L7H4,smart,3.775697590581082,0.036712977662682535,False
43,"(19, 15)",prog_L7H4,smart,3.888744386559938,0.04008581154048443,False
44,"(17, 3)",prog_L19H18,smart,3.5871931994704083,0.04185223095118999,False
45,"(20, 9)",prog_L16H14,smart,3.6634718745798893,0.04191432520747185,False
46,"(24, 19)",prog_L3H13,smart,3.5472540326338367,0.0432068508118391,False
47,"(23, 5)",prog_L19H18,smart,3.6430284650289684,0.04723190777003765,False
48,"(21, 8)",prog_L7H4,smart,3.972851928441127,0.04797359295189381,False
49,"(23, 19)",prog_L16H14,smart,3.932675377523439,0.04736904986202717,False
50,"(24, 15)",prog_L16H14,smart,3.853203956390723,0.04909538552165031,False
51,"(18, 4)",prog_L7H4,smart,3.539471450572401,0.05231860093772411,False
52,"(26, 22)",prog_L16H14,smart,3.357352440321833,0.04940162822604179,False
53,"(22, 7)",prog_L19H18,smart,3.5573503535079887,0.05017703399062157,False
54,"(26, 5)",prog_L3H13,smart,3.6286837905611136,0.05078901052474975,False
55,"(13, 13)",prog_L3H13,smart,4.080252293668939,0.05090474784374237,False
56,"(10, 21)",prog_L3H13,smart,4.4608254925484685,0.04973349571228027,False
57,"(24, 5)",prog_L16H14,smart,4.491735871703008,0.05091465264558792,False
58,"(26, 11)",prog_L7H4,smart,4.307785978022995,0.052971509844064714,False
59,"(22, 8)",prog_L16H14,smart,4.423617005742878,0.05607612058520317,False
60,"(4, 22)",prog_L16H14,smart,4.64384007714151,0.05966188758611679,False
61,"(17, 1)",prog_L19H16,smart,4.710392357728277,0.06453878879547119,False
62,"(24, 14)",prog_L19H18,smart,4.941178794021438,0.06848411485552788,False
63,"(23, 22)",prog_L3H13,smart,5.09696473431787,0.06585770845413208,False
64,"(21, 20)",prog_L3H13,smart,5.212092868643159,0.06678629517555237,False
65,"(22, 2)",prog_L7H4,smart,5.5838354634305265,0.06354301273822785,False
66,"(16, 5)",prog_L19H16,smart,5.788910362834758,0.06385784149169922,False
67,"(26, 21)",prog_L16H14,smart,6.23764571518195,0.06553489416837692,False
68,"(22, 22)",prog_L19H18,smart,6.415873209150408,0.06815074384212494,False
69,"(27, 15)",prog_L19H16,smart,6.720225419162782,0.07540791928768158,False
70,"(6, 19)",prog_L3H13,smart,6.470138907805536,0.07820184901356697,False
71,"(19, 12)",prog_L3H13,smart,6.7376029448326396,0.07983774244785309,False
72,"(24, 18)",prog_L3H13,smart,6.813499471527325,0.08303231447935104,False
73,"(16, 2)",prog_L3H13,smart,6.892683050307776,0.08429865092039109,False
