k,head,program,strategy,increase,kl_div,spike
1,"(15, 16)",prog_L14H29,baseline,0.5921090066521378,0.0811118096113205,False
2,"(8, 11)",prog_L14H29,baseline,6.40395878829799,0.527813869714737,False
3,"(15, 20)",prog_L14H29,baseline,9.641390505968356,0.8207015931606293,False
4,"(11, 8)",prog_L14H29,baseline,13.993500959563542,1.057336550951004,False
5,"(16, 28)",prog_L14H29,baseline,25.748797468906172,1.3767666816711426,False
6,"(6, 11)",prog_L20H2,baseline,68.94854769182565,2.060466766357422,False
7,"(8, 8)",prog_L16H19,baseline,96.39852489649431,2.6824997484683992,False
8,"(8, 19)",prog_L20H2,baseline,109.08293377342272,2.769085156917572,False
9,"(11, 11)",prog_L14H29,baseline,178.9128957753774,3.3045503973960875,False
10,"(8, 9)",prog_L14H29,baseline,222.71845766848384,3.6331913352012633,False
11,"(7, 0)",prog_L20H2,baseline,311.98025837490485,3.6776930809021,False
12,"(14, 13)",prog_L14H29,baseline,411.84763680999833,4.153429341316223,False
13,"(11, 3)",prog_L14H29,baseline,402.1509238965708,4.188765275478363,False
14,"(19, 12)",prog_L20H2,baseline,401.5809124784977,4.043226778507233,False
15,"(15, 19)",prog_L14H29,baseline,437.164084198193,3.9284462928771973,False
16,"(11, 1)",prog_L20H2,baseline,481.89964170358627,4.5130407333374025,False
17,"(11, 6)",prog_L20H2,baseline,467.8589659515898,4.659421586990357,False
18,"(15, 8)",prog_L14H29,baseline,487.3004843254703,5.185533165931702,False
19,"(6, 3)",prog_L20H2,baseline,552.0228023545112,5.383551526069641,False
20,"(17, 22)",prog_L20H2,baseline,556.8994557394983,5.235478782653809,False
21,"(19, 9)",prog_L20H2,baseline,547.2235127902748,5.192624092102051,False
22,"(15, 21)",prog_L14H29,baseline,553.5881762066051,5.203111410140991,False
23,"(8, 21)",prog_L20H2,baseline,617.879681593239,5.180220222473144,False
24,"(8, 18)",prog_L20H2,baseline,634.2385187341524,5.383976912498474,False
25,"(8, 27)",prog_L20H2,baseline,657.1576414672465,5.641437888145447,False
26,"(20, 29)",prog_L14H29,baseline,668.3941680693449,5.487556505203247,False
27,"(20, 16)",prog_L20H2,baseline,656.0231993468994,5.151142835617065,False
28,"(6, 25)",prog_L14H29,baseline,730.2852602634073,5.373102426528931,False
29,"(12, 5)",prog_L20H2,baseline,779.8732515659772,5.782690763473511,False
30,"(18, 23)",prog_L20H2,baseline,809.0753997054345,5.721780443191529,False
31,"(5, 13)",prog_L20H2,baseline,883.8855946369247,5.696512508392334,False
32,"(4, 28)",prog_L20H2,baseline,977.4018793753523,5.571240329742432,False
